"Line","Fhb1","1RS:1AL","Lr34/Yr18","Sr24/Lr24","Tamyb10-B1","Tamyb10-D1","Fhb_3B_MASSEY","Yr15","Lr42","Glu-D1","Rht24","Ppd-B1_CS","Glu-A1","Vrn-A1b","H13","H13b"
"2024-BIGSIX-156","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-157","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","het","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-158","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-159","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-160","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-161","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-162","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-163","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-164","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","het","Rht24","non-Ppd-B1a_CS_insens","het","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-165","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax2","Vrn-A1b","non-H13","non-H13b"
